GeneralParams(name='runs/CIFAR10/20230907_1333_746630',
              console=True,
              tensorboard=True,
              load=False,
              test=False,
              cuda=True,
              num_workers=4,
              gpu='1',
              visualize=False)
DatasetParams(dataset='CIFAR10', image_size=32)
TrainerParams(batch_size=128,
              optimizer='SGD',
              lr=0.001,
              lr_morpho=1,
              weight_decay=0,
              max_epochs=400,
              scheduler='CosineAnnealingLR',
              amp=True)
ModelParams(model='MobileNetV2-31',
            morpho_type='infinity',
            expansion=8,
            morpho_init='normal',
            relu=False,
            conv_type='norm1')
Using cuda backend
| epoch 157 | time 18.32s | loss 0.3984 | train_acc 86.25 | val_acc 84.36 | lr 6.69e-04|
| epoch 158 | time 18.36s | loss 0.3916 | train_acc 86.65 | val_acc 82.92 | lr 6.66e-04|
| epoch 159 | time 18.37s | loss 0.3947 | train_acc 86.40 | val_acc 84.38 | lr 6.62e-04|
| epoch 160 | time 18.35s | loss 0.3906 | train_acc 86.72 | val_acc 84.93 | lr 6.58e-04|
| epoch 161 | time 18.36s | loss 0.3914 | train_acc 86.39 | val_acc 85.02 | lr 6.55e-04|
| epoch 162 | time 18.36s | loss 0.3904 | train_acc 86.59 | val_acc 85.35 | lr 6.51e-04| best
| epoch 163 | time 18.37s | loss 0.3887 | train_acc 86.43 | val_acc 84.50 | lr 6.47e-04|
| epoch 164 | time 18.33s | loss 0.3779 | train_acc 87.04 | val_acc 84.80 | lr 6.43e-04|
| epoch 165 | time 18.39s | loss 0.3870 | train_acc 86.60 | val_acc 85.14 | lr 6.39e-04|
| epoch 166 | time 18.38s | loss 0.3793 | train_acc 86.91 | val_acc 85.20 | lr 6.36e-04|
| epoch 167 | time 18.37s | loss 0.3811 | train_acc 86.95 | val_acc 85.04 | lr 6.32e-04|
| epoch 168 | time 18.38s | loss 0.3802 | train_acc 86.87 | val_acc 85.11 | lr 6.28e-04|
| epoch 169 | time 18.37s | loss 0.3742 | train_acc 87.15 | val_acc 85.00 | lr 6.24e-04|
| epoch 170 | time 18.36s | loss 0.3751 | train_acc 87.09 | val_acc 85.63 | lr 6.21e-04| best
| epoch 171 | time 18.39s | loss 0.3700 | train_acc 87.35 | val_acc 84.51 | lr 6.17e-04|
| epoch 172 | time 18.37s | loss 0.3718 | train_acc 87.27 | val_acc 84.83 | lr 6.13e-04|
| epoch 173 | time 18.37s | loss 0.3700 | train_acc 87.25 | val_acc 85.32 | lr 6.09e-04|
| epoch 174 | time 18.40s | loss 0.3658 | train_acc 87.36 | val_acc 83.87 | lr 6.05e-04|
| epoch 175 | time 18.32s | loss 0.3612 | train_acc 87.48 | val_acc 85.13 | lr 6.01e-04|
| epoch 176 | time 18.37s | loss 0.3669 | train_acc 87.40 | val_acc 84.93 | lr 5.98e-04|
| epoch 177 | time 18.34s | loss 0.3640 | train_acc 87.36 | val_acc 84.94 | lr 5.94e-04|
| epoch 178 | time 18.35s | loss 0.3624 | train_acc 87.48 | val_acc 84.73 | lr 5.90e-04|
| epoch 179 | time 18.35s | loss 0.3649 | train_acc 87.48 | val_acc 85.07 | lr 5.86e-04|
| epoch 180 | time 18.37s | loss 0.3581 | train_acc 87.56 | val_acc 86.34 | lr 5.82e-04| best
| epoch 181 | time 18.40s | loss 0.3560 | train_acc 87.67 | val_acc 84.82 | lr 5.78e-04|
| epoch 182 | time 18.37s | loss 0.3547 | train_acc 87.76 | val_acc 84.39 | lr 5.74e-04|
| epoch 183 | time 18.41s | loss 0.3504 | train_acc 88.00 | val_acc 85.17 | lr 5.70e-04|
| epoch 184 | time 18.45s | loss 0.3515 | train_acc 87.84 | val_acc 85.86 | lr 5.67e-04|
| epoch 185 | time 18.35s | loss 0.3519 | train_acc 87.84 | val_acc 86.07 | lr 5.63e-04|
| epoch 186 | time 18.36s | loss 0.3503 | train_acc 87.87 | val_acc 85.69 | lr 5.59e-04|
| epoch 187 | time 18.42s | loss 0.3518 | train_acc 87.91 | val_acc 85.12 | lr 5.55e-04|
| epoch 188 | time 18.36s | loss 0.3462 | train_acc 88.29 | val_acc 84.73 | lr 5.51e-04|
| epoch 189 | time 18.38s | loss 0.3409 | train_acc 88.17 | val_acc 85.42 | lr 5.47e-04|
| epoch 190 | time 18.40s | loss 0.3450 | train_acc 88.08 | val_acc 86.26 | lr 5.43e-04|
| epoch 191 | time 18.38s | loss 0.3407 | train_acc 88.11 | val_acc 85.71 | lr 5.39e-04|
| epoch 192 | time 18.37s | loss 0.3444 | train_acc 88.01 | val_acc 85.17 | lr 5.35e-04|
| epoch 193 | time 18.42s | loss 0.3408 | train_acc 88.28 | val_acc 86.74 | lr 5.31e-04| best
| epoch 194 | time 18.40s | loss 0.3389 | train_acc 88.24 | val_acc 86.28 | lr 5.27e-04|
| epoch 195 | time 18.45s | loss 0.3355 | train_acc 88.51 | val_acc 85.94 | lr 5.24e-04|
| epoch 196 | time 18.37s | loss 0.3352 | train_acc 88.44 | val_acc 86.60 | lr 5.20e-04|
| epoch 197 | time 18.38s | loss 0.3329 | train_acc 88.44 | val_acc 86.75 | lr 5.16e-04| best
| epoch 198 | time 18.38s | loss 0.3286 | train_acc 88.65 | val_acc 86.55 | lr 5.12e-04|
| epoch 199 | time 18.36s | loss 0.3263 | train_acc 88.67 | val_acc 86.89 | lr 5.08e-04| best
| epoch 200 | time 18.37s | loss 0.3301 | train_acc 88.69 | val_acc 86.16 | lr 5.04e-04|
| epoch 201 | time 18.37s | loss 0.3284 | train_acc 88.62 | val_acc 84.96 | lr 5.00e-04|
| epoch 202 | time 18.27s | loss 0.3247 | train_acc 88.78 | val_acc 86.28 | lr 4.96e-04|
| epoch 203 | time 18.25s | loss 0.3177 | train_acc 89.04 | val_acc 86.47 | lr 4.92e-04|
| epoch 204 | time 18.26s | loss 0.3218 | train_acc 88.96 | val_acc 86.24 | lr 4.88e-04|
| epoch 205 | time 18.32s | loss 0.3165 | train_acc 88.98 | val_acc 86.43 | lr 4.84e-04|
| epoch 206 | time 18.29s | loss 0.3178 | train_acc 89.02 | val_acc 86.72 | lr 4.80e-04|
| epoch 207 | time 18.24s | loss 0.3146 | train_acc 89.23 | val_acc 85.41 | lr 4.76e-04|
| epoch 208 | time 18.28s | loss 0.3146 | train_acc 89.24 | val_acc 86.12 | lr 4.73e-04|
| epoch 209 | time 18.20s | loss 0.3142 | train_acc 89.11 | val_acc 86.61 | lr 4.69e-04|
| epoch 210 | time 18.23s | loss 0.3094 | train_acc 89.26 | val_acc 86.73 | lr 4.65e-04|
| epoch 211 | time 18.22s | loss 0.3100 | train_acc 89.31 | val_acc 86.21 | lr 4.61e-04|
| epoch 212 | time 18.33s | loss 0.3104 | train_acc 89.22 | val_acc 87.03 | lr 4.57e-04| best
| epoch 213 | time 18.24s | loss 0.3031 | train_acc 89.68 | val_acc 86.92 | lr 4.53e-04|
| epoch 214 | time 18.28s | loss 0.3022 | train_acc 89.62 | val_acc 87.17 | lr 4.49e-04| best
| epoch 215 | time 18.26s | loss 0.2988 | train_acc 89.62 | val_acc 87.59 | lr 4.45e-04| best
| epoch 216 | time 18.22s | loss 0.2962 | train_acc 89.77 | val_acc 86.60 | lr 4.41e-04|
| epoch 217 | time 18.29s | loss 0.2982 | train_acc 89.68 | val_acc 85.90 | lr 4.37e-04|
| epoch 218 | time 18.30s | loss 0.2918 | train_acc 89.86 | val_acc 87.01 | lr 4.33e-04|
| epoch 219 | time 18.24s | loss 0.2932 | train_acc 89.99 | val_acc 85.80 | lr 4.30e-04|
| epoch 220 | time 18.25s | loss 0.2914 | train_acc 89.86 | val_acc 86.28 | lr 4.26e-04|
| epoch 221 | time 18.28s | loss 0.2881 | train_acc 90.10 | val_acc 86.50 | lr 4.22e-04|
| epoch 222 | time 18.26s | loss 0.2949 | train_acc 89.94 | val_acc 86.92 | lr 4.18e-04|
| epoch 223 | time 18.28s | loss 0.2898 | train_acc 89.90 | val_acc 87.68 | lr 4.14e-04| best
| epoch 224 | time 18.31s | loss 0.2848 | train_acc 90.12 | val_acc 87.49 | lr 4.10e-04|
| epoch 225 | time 18.26s | loss 0.2826 | train_acc 90.14 | val_acc 87.35 | lr 4.06e-04|
| epoch 226 | time 18.28s | loss 0.2773 | train_acc 90.47 | val_acc 87.97 | lr 4.02e-04| best
| epoch 227 | time 18.30s | loss 0.2771 | train_acc 90.45 | val_acc 87.15 | lr 3.99e-04|
| epoch 228 | time 18.30s | loss 0.2753 | train_acc 90.52 | val_acc 87.43 | lr 3.95e-04|
| epoch 229 | time 18.37s | loss 0.2772 | train_acc 90.32 | val_acc 86.47 | lr 3.91e-04|
| epoch 230 | time 18.33s | loss 0.2708 | train_acc 90.60 | val_acc 87.17 | lr 3.87e-04|
| epoch 231 | time 18.33s | loss 0.2685 | train_acc 90.75 | val_acc 88.08 | lr 3.83e-04| best
| epoch 232 | time 18.26s | loss 0.2703 | train_acc 90.61 | val_acc 87.60 | lr 3.79e-04|
| epoch 233 | time 18.22s | loss 0.2679 | train_acc 90.68 | val_acc 87.41 | lr 3.76e-04|
